   Recursive
1, 0.001027
2, 0.000999
3, 0.002002
4, 0.002001
5, 0.005004
7, 0.003703
9, 0.002007
11, 0.003054
13, 0.001444
15, 0.004233
17, 0.002158
19, 0.001366
21, 0.001006
23, 0.002012
25, 0.002
27, 0.004997
29, 0.011052
31, 0.024874
33, 0.028036
35, 0.069053
37, 0.178669
39, 0.46836
41, 1.23203
43, 3.22734
45, 8.44245
   Iterative
1, 0.000501
2, 0.000287
3, 0.000624
4, 0
5, 0.000503
7, 0.000781
9, 0.000531
11, 0.000704
13, 0
15, 0
17, 0.000499
19, 0.0005
21, 0.000501
23, 0.0005
25, 0.000499
27, 0
29, 0.000504
31, 0.000509
33, 0.000488
35, 0.0005
37, 0.000499
39, 0
41, 0
43, 0.000499
45, 0.000502
47, 0.000499
49, 0
51, 0
53, 0
55, 0.00102
57, 0
59, 0
61, 0.001001
63, 0
65, 0
67, 0.001001
69, 0
   Closed Form
1, 0.004002
2, 0.001001
3, 0
4, 0.001001
5, 0
7, 0
9, 0.001
11, 0
13, 0
15, 0
17, 0
19, 0.001001
21, 0
23, 0
25, 0.001001
27, 0.000614
29, 0
31, 0
33, 0.001012
35, 0
37, 0.001993
39, 0
41, 0.001003
43, 0
45, 0.000998
47, 0
49, 0
51, 0.001236
53, 0
55, 0.001021
57, 0.000984
59, 0
61, 0
63, 0.001001
65, 0
67, 0.001001
69, 0
71, 0
73, 0.002
75, 0.001003
77, 0.001
79, 0
81, 0
83, 0.001
85, 0
87, 0
89, 0
91, 0
93, 0.001001
95, 0
97, 0
99, 0.001
101, 0
103, 0.001
105, 0
107, 0
109, 0
111, 0
113, 0.003008
115, 0.001452
117, 0.001007
119, 0
121, 0.001002
123, 0
125, 0.001
127, 0
129, 0.001001
131, 0
133, 0.001
135, 0
137, 0.001001
139, 0
141, 0.002001
143, 0.001
145, 0.001995
147, 0.0005
149, 0
151, 0
153, 0.001004
155, 0
157, 0.001001
159, 0
161, 0.000998
163, 0
165, 0
167, 0.002006
169, 0
171, 0.002
173, 0
175, 0
177, 0.000993
179, 0
181, 0
183, 0
185, 0
187, 0.001
189, 0
191, 0
193, 0.000999
195, 0
197, 0
199, 0.001002
   Matrix Representation
1, 0
2, 0.001001
3, 0
4, 0.001001
5, 0
7, 0.001
9, 0.001003
11, 0
13, 0
15, 0.000993
17, 0.00101
19, 0
21, 0
23, 0
25, 0.001003
27, 0
29, 0.001
31, 0
33, 0
35, 0.001002
37, 0
39, 0.000999
41, 0.00101
43, 0
45, 0.000991
47, 0
49, 0.001
51, 0
53, 0
55, 0.001001
57, 0
59, 0
61, 0
63, 0
65, 0.001001
67, 0
69, 0
71, 0.001001
73, 0.000504
75, 0.0005
77, 0.002503
79, 0.001505
81, 0.000497
83, 0
85, 0.000265
87, 0.000504
89, 0.000824
91, 0.000501
93, 0.000503
95, 0.0005
97, 0.0005
99, 0.000502
101, 0
103, 0.000491
105, 0.001188
107, 0.000521
109, 0
111, 0.001192
113, 0
115, 0.001001
117, 0
119, 0
121, 0.001001
123, 0
125, 0.001001
127, 0.001005
129, 0
131, 0.001998
133, 0
135, 0.001004
137, 0
139, 0.001
141, 0
143, 0
145, 0.001001
147, 0
149, 0
151, 0
153, 0
155, 0.001
157, 0.000527
159, 0
161, 0
163, 0.001004
165, 0
167, 0.001001
169, 0
171, 0
173, 0.003001
175, 0
177, 0.001011
179, 0
181, 0
183, 0.001014
185, 0.000989
187, 0
189, 0
191, 0.001
193, 0
195, 0.001
197, 0
199, 0
